application_for,open_date_year,response_rate_met,ballots_cast,ballots_distributed,poll_result,open_date,ballot_return_rate,ballot_in_favour_rate
Front Yard Parking,2021,Yes,47,102,In Favour,2021-04-13,0.4608,0.6977
Traffic Calming,2021,No,42,86,Response Rate Not Met,2021-04-12,0.4884,0.881
Front Yard Parking,2021,Yes,59,103,In Favour,2021-04-19,0.5728,0.931
Front Yard Parking,2021,Yes,28,105,In Favour,2021-04-20,0.2667,0.8182
Permit Parking,2021,Yes,80,195,Opposed,2021-06-21,0.4103,0.3571
Front Yard Parking,2021,Yes,69,155,In Favour,2021-06-22,0.4452,0.9692
Traffic Calming,2021,Yes,136,240,In Favour,2021-04-22,0.5667,0.9322
Front Yard Parking,2021,Yes,58,110,In Favour,2021-06-16,0.5273,0.9643
Front Yard Parking,2021,No,21,85,Response Rate Not Met,2021-06-28,0.2471,0.9
Front Yard Parking,2021,No,14,62,Response Rate Not Met,2021-06-23,0.2258,0.6923
Front Yard Parking,2021,Yes,41,70,In Favour,2021-07-06,0.5857,0.8974
Permit Parking,2021,Yes,31,94,Opposed,2021-07-05,0.3298,0.4194
Commercial Boulevard Parking,2021,Yes,17,37,Opposed,2021-06-24,0.4595,0.1429
Front Yard Parking,2021,No,7,45,Response Rate Not Met,2021-07-08,0.1556,0.7143
Front Yard Parking,2021,Yes,39,91,In Favour,2021-07-20,0.4286,1
Front Yard Parking,2021,Yes,36,76,In Favour,2021-07-12,0.4737,0.9688
Front Yard Parking,2021,Yes,17,18,In Favour,2021-07-12,0.9444,1
Front Yard Parking,2021,Yes,8,10,In Favour,2021-08-04,0.8,1
Proposed Business Improvement Area,2021,No,37,258,Response Rate Not Met,2021-07-05,0.1434,0.6944
Permit Parking Removal,2021,Yes,64,81,Opposed,2021-06-30,0.7901,0.3226
Front Yard Parking,2021,Yes,43,75,In Favour,2021-07-14,0.5733,0.9231
Front Yard Parking,2021,Yes,45,101,In Favour,2021-08-05,0.4455,1
Front Yard Parking,2021,Yes,9,31,In Favour,2021-07-19,0.2903,1
Front Yard Parking,2021,Yes,38,113,In Favour,2021-08-03,0.3363,1
Front Yard Parking,2021,Yes,73,108,In Favour,2021-07-22,0.6759,0.8814
Front Yard Parking,2021,Yes,62,114,In Favour,2021-08-30,0.5439,0.931
Front Yard Parking,2021,Yes,75,110,In Favour,2021-07-28,0.6818,1
Permit Parking,2021,Yes,46,120,In Favour,2021-08-12,0.3833,0.9302
Front Yard Parking,2021,Yes,9,20,In Favour,2021-07-29,0.45,1
Front Yard Parking,2021,Yes,36,68,In Favour,2021-08-12,0.5294,1
Front Yard Parking,2021,Yes,29,99,In Favour,2021-08-09,0.2929,1
Front Yard Parking,2021,Yes,15,35,In Favour,2021-08-31,0.4286,1
Front Yard Parking,2021,Yes,52,92,In Favour,2021-09-16,0.5652,0.9535
Front Yard Parking,2021,Yes,33,134,In Favour,2021-08-23,0.2463,0.7097
Front Yard Parking,2021,Yes,56,101,In Favour,2021-09-20,0.5545,0.9259
Traffic Calming,2021,No,100,256,Response Rate Not Met,2021-09-27,0.3906,0.6771
Front Yard Parking,2021,Yes,30,49,In Favour,2021-09-16,0.6122,0.9333
Front Yard Parking,2021,Yes,18,46,In Favour,2021-09-20,0.3913,1
Front Yard Parking,2021,Yes,26,61,In Favour,2021-09-21,0.4262,1
Front Yard Parking,2021,Yes,52,94,In Favour,2021-09-28,0.5532,0.9592
Front Yard Parking,2021,Yes,23,75,In Favour,2021-09-29,0.3067,0.9474
Front Yard Parking,2021,Yes,30,66,In Favour,2021-10-06,0.4545,1
Traffic Calming Safety Zone,2021,Yes,69,260,In Favour,2021-10-05,0.2654,0.7812
Traffic Calming,2021,No,135,306,Response Rate Not Met,2021-10-04,0.4412,0.536
Traffic Calming,2021,No,32,116,Response Rate Not Met,2021-10-14,0.2759,0.9655
Traffic Calming,2021,No,54,165,Response Rate Not Met,2021-10-14,0.3273,0.6444
Traffic Calming Safety Zone,2021,Yes,45,101,In Favour,2021-10-12,0.4455,0.6591
Permit Parking,2021,Yes,39,97,In Favour,2021-10-18,0.4021,0.6286
Permit Parking,2021,No,51,323,Response Rate Not Met,2021-10-28,0.1579,0.7609
Front Yard Parking,2021,Yes,69,97,In Favour,2021-10-21,0.7113,0.9844
Front Yard Parking,2021,Yes,45,79,In Favour,2021-10-20,0.5696,1
Front Yard Parking,2021,Yes,42,68,In Favour,2021-10-27,0.6176,0.9444
Front Yard Parking,2021,Yes,51,80,In Favour,2021-10-18,0.6375,0.9556
Front Yard Parking,2021,Yes,15,43,In Favour,2021-10-25,0.3488,0.8667
Permit Parking,2021,Yes,22,64,Opposed,2021-11-01,0.3438,0.1
Front Yard Parking,2021,Yes,17,45,In Favour,2021-09-27,0.3778,1
Permit Parking,2021,Yes,14,61,Opposed,2021-10-19,0.2295,0.2308
Front Yard Parking,2021,Yes,30,88,In Favour,2021-11-01,0.3409,0.8214
Front Yard Parking,2021,Yes,36,72,In Favour,2021-11-03,0.5,1
Permit Parking,2021,Yes,42,76,In Favour,2021-11-09,0.5526,0.5789
Permit Parking,2021,Yes,27,60,In Favour,2021-10-26,0.45,0.6154
Front Yard Parking,2021,Yes,41,80,In Favour,2021-11-04,0.5125,0.6923
Front Yard Parking,2021,Yes,50,136,In Favour,2021-11-16,0.3676,0.8421
Front Yard Parking,2021,Yes,28,59,In Favour,2021-11-10,0.4746,0.9615
Front Yard Parking,2021,Yes,45,88,In Favour,2021-11-15,0.5114,0.9535
Front Yard Parking,2021,Yes,38,45,In Favour,2021-11-17,0.8444,1
Traffic Calming,2021,No,38,105,Response Rate Not Met,2021-11-24,0.3619,0.9667
Front Yard Parking,2021,Yes,18,27,In Favour,2021-11-22,0.6667,1
Front Yard Parking,2021,Yes,42,75,In Favour,2021-11-23,0.56,1
Front Yard Parking,2021,Yes,21,41,In Favour,2021-11-24,0.5122,0.7143
Front Yard Parking,2021,Yes,63,107,In Favour,2021-11-30,0.5888,0.9322
Front Yard Parking,2021,Yes,38,76,In Favour,2021-12-06,0.5,1
Front Yard Parking,2021,Yes,77,90,In Favour,2021-12-07,0.8556,0.96
Front Yard Parking,2021,Yes,11,23,In Favour,2021-12-13,0.4783,1
Front Yard Parking,2021,Yes,51,95,In Favour,2021-12-15,0.5368,0.8936
Front Yard Parking,2021,Yes,34,129,In Favour,2021-12-09,0.2636,0.8667
Front Yard Parking,2021,Yes,31,81,In Favour,2021-12-16,0.3827,1
Front Yard Parking,2022,No,17,81,Response Rate Not Met,2022-01-17,0.2099,0.875
Front Yard Parking,2022,Yes,40,117,In Favour,2022-01-25,0.3419,0.8718
Front Yard Parking,2022,Yes,29,44,In Favour,2022-01-31,0.6591,0.8846
Front Yard Parking,2022,Yes,52,92,In Favour,2022-02-03,0.5652,1
Front Yard Parking,2022,Yes,53,112,In Favour,2022-01-12,0.4732,0.6939
Front Yard Parking,2022,Yes,41,52,In Favour,2022-01-17,0.7885,1
Front Yard Parking,2022,Yes,53,126,In Favour,2022-01-27,0.4206,0.9524
Commercial Boulevard Parking,2022,No,7,45,Response Rate Not Met,2022-02-07,0.1556,0.4
Permit Parking,2022,Yes,7,11,Opposed,2022-02-02,0.6364,0
Permit Parking,2022,Yes,94,151,Opposed,2022-02-10,0.6225,0.3667
Front Yard Parking,2022,Yes,36,61,In Favour,2022-02-22,0.5902,1
Traffic Calming,2022,Yes,53,75,In Favour,2022-02-23,0.7067,0.8913
Traffic Calming,2022,Yes,17,22,In Favour,2022-02-23,0.7727,1
Front Yard Parking,2022,Yes,27,64,In Favour,2022-03-08,0.4219,0.963
Permit Parking,2022,No,15,66,Response Rate Not Met,2022-03-22,0.2273,0.6667
Front Yard Parking,2022,Yes,86,133,In Favour,2022-03-03,0.6466,0.9872
Front Yard Parking,2022,Yes,10,34,In Favour,2022-03-07,0.2941,1
Front Yard Parking,2022,Yes,64,111,In Favour,2022-04-20,0.5766,0.7581
Permit Parking,2022,Yes,35,104,In Favour,2022-03-30,0.3365,0.9062
Permit Parking,2022,Yes,28,100,In Favour,2022-03-31,0.28,0.7407
Front Yard Parking,2022,Yes,72,105,In Favour,2022-04-04,0.6857,0.9697
Front Yard Parking,2022,Yes,39,82,In Favour,2022-04-11,0.4756,0.9737
Front Yard Parking,2022,Yes,38,140,In Favour,2022-04-21,0.2714,0.8611
Front Yard Parking,2022,Yes,37,57,In Favour,2022-04-13,0.6491,0.9375
Front Yard Parking,2022,Yes,50,115,In Favour,2022-04-25,0.4348,0.84
Front Yard Parking,2022,Yes,39,71,In Favour,2022-04-28,0.5493,1
Front Yard Parking,2022,Yes,24,30,In Favour,2022-05-02,0.8,0.8333
Permit Parking,2022,Yes,34,72,Opposed,2022-06-22,0.4722,0.5152
Front Yard Parking,2022,Yes,38,63,In Favour,2022-05-09,0.6032,0.7568
Front Yard Parking,2022,Yes,43,86,In Favour,2022-05-05,0.5,0.9762
Front Yard Parking,2022,Yes,23,75,In Favour,2022-05-12,0.3067,0.9565
Permit Parking,2022,Yes,48,117,In Favour,2022-05-09,0.4103,0.5778
Front Yard Parking,2022,Yes,47,98,In Favour,2022-05-16,0.4796,1
Front Yard Parking,2022,Yes,50,89,In Favour,2022-05-19,0.5618,0.7442
Front Yard Parking,2022,Yes,42,79,In Favour,2022-05-30,0.5316,1
Front Yard Parking,2022,Yes,79,124,In Favour,2022-06-01,0.6371,0.8684
Front Yard Parking,2022,Yes,31,42,In Favour,2022-06-06,0.7381,0.9643
Front Yard Parking,2022,Yes,13,21,In Favour,2022-06-07,0.619,1
Front Yard Parking,2022,Yes,38,64,In Favour,2022-05-25,0.5938,0.8438
Front Yard Parking,2022,Yes,33,52,In Favour,2022-06-09,0.6346,0.8788
Permit Parking,2022,Yes,17,63,In Favour,2022-06-14,0.2698,1
Permit Parking,2022,Yes,38,86,Opposed,2022-06-21,0.4419,0.1053
Front Yard Parking,2022,Yes,18,52,In Favour,2022-06-16,0.3462,1
Permit Parking,2022,Yes,25,72,Opposed,2022-06-21,0.3472,0.55
Front Yard Parking,2022,Yes,29,55,In Favour,2022-06-27,0.5273,1
Front Yard Parking,2022,Yes,20,92,In Favour,2022-06-28,0.2174,0.75
Front Yard Parking,2022,Yes,22,55,In Favour,2022-07-05,0.4,1
Permit Parking,2022,Yes,41,118,Opposed,2022-08-22,0.3475,0.122
Permit Parking,2022,Yes,25,72,Opposed,2022-08-22,0.3472,0.2
Permit Parking,2022,Yes,28,52,Opposed,2022-08-22,0.5385,0.1429
Traffic Calming Safety Zone,2022,Yes,65,125,In Favour,2022-07-14,0.52,0.65
Traffic Calming,2022,Yes,96,151,In Favour,2022-07-19,0.6358,0.7368
Traffic Calming,2022,Yes,24,75,Opposed,2022-07-28,0.32,0.3043
Traffic Calming,2022,No,53,156,Response Rate Not Met,2022-09-07,0.3397,0.8367
Front Yard Parking,2022,Yes,63,135,In Favour,2022-07-21,0.4667,0.9508
Traffic Calming,2022,Yes,43,112,In Favour,2022-08-04,0.3839,0.973
Front Yard Parking,2022,Yes,73,119,In Favour,2022-07-28,0.6134,1
Front Yard Parking,2022,Yes,64,89,In Favour,2022-08-04,0.7191,0.7719
Front Yard Parking,2022,No,14,73,Response Rate Not Met,2022-08-08,0.1918,1
Front Yard Parking,2022,Yes,21,40,In Favour,2022-08-18,0.525,0.9524
Permit Parking,2022,Yes,147,408,Opposed,2022-08-29,0.3603,0.2246
Traffic Calming,2022,No,30,65,Response Rate Not Met,2022-08-30,0.4615,0.9667
Traffic Calming,2022,No,105,215,Response Rate Not Met,2022-08-31,0.4884,0.4184
Front Yard Parking,2022,Yes,70,99,In Favour,2022-09-07,0.7071,0.8065
Traffic Calming,2022,Yes,19,30,In Favour,2022-09-08,0.6333,0.8889
Traffic Calming,2022,No,33,158,Response Rate Not Met,2022-09-15,0.2089,0.6364
Traffic Calming,2022,No,60,198,Response Rate Not Met,2022-09-15,0.303,0.9643
Front Yard Parking,2022,Yes,29,99,In Favour,2022-09-19,0.2929,0.9643
Front Yard Parking,2022,Yes,15,49,In Favour,2022-09-21,0.3061,0.7333
Front Yard Parking,2022,Yes,47,94,In Favour,2022-09-22,0.5,0.8537
Front Yard Parking,2022,Yes,43,50,In Favour,2022-09-26,0.86,1
Traffic Calming Safety Zone,2022,Yes,125,313,In Favour,2022-12-14,0.3994,0.7712
Front Yard Parking,2022,Yes,53,76,In Favour,2022-10-11,0.6974,0.907
Permit Parking,2022,Yes,5,10,Opposed,2022-10-11,0.5,0.6
Front Yard Parking,2022,Yes,18,26,In Favour,2022-10-17,0.6923,0.7333
Front Yard Parking,2022,Yes,30,69,In Favour,2022-10-20,0.4348,0.92
Front Yard Parking,2022,Yes,12,34,In Favour,2022-10-25,0.3529,1
Front Yard Parking,2022,Yes,59,100,In Favour,2022-10-25,0.59,0.9286
Permit Parking,2022,Yes,32,58,Opposed,2022-10-26,0.5517,0.4688
Front Yard Parking,2022,Yes,13,37,In Favour,2022-11-10,0.3514,1
Front Yard Parking,2022,Yes,44,73,In Favour,2022-11-08,0.6027,1
Front Yard Parking,2022,Yes,48,74,In Favour,2022-11-22,0.6486,1
Front Yard Parking,2022,Yes,41,82,In Favour,2022-11-29,0.5,1
Front Yard Parking,2023,Yes,28,45,In Favour,2023-01-23,0.6222,0.8261
Front Yard Parking,2023,Yes,11,19,In Favour,2023-01-26,0.5789,0.8889
Traffic Calming Safety Zone,2023,Yes,121,227,In Favour,2023-02-01,0.533,0.7679
Traffic Calming,2023,No,102,242,Response Rate Not Met,2023-02-09,0.4215,0.5957
Front Yard Parking,2023,Yes,29,79,Opposed,2023-01-25,0.3671,0.4074
Front Yard Parking,2023,Yes,39,82,In Favour,2023-02-01,0.4756,1
Front Yard Parking,2023,Yes,60,87,In Favour,2023-02-02,0.6897,0.9825
Front Yard Parking,2023,Yes,81,115,In Favour,2023-02-07,0.7043,1
Front Yard Parking,2023,Yes,28,70,In Favour,2023-02-06,0.4,1
Front Yard Parking,2023,Yes,21,52,In Favour,2023-02-09,0.4038,0.75
Front Yard Parking,2023,Yes,22,39,In Favour,2023-02-13,0.5641,1
Front Yard Parking,2023,Yes,25,45,In Favour,2023-02-14,0.5556,1
Traffic Calming,2022,Yes,38,74,In Favour,2022-11-21,0.5135,0.7838
Permit Parking,2023,Yes,29,73,In Favour,2023-02-06,0.3973,0.7143
Front Yard Parking,2023,Yes,22,75,In Favour,2023-02-16,0.2933,1
Front Yard Parking,2023,Yes,25,97,In Favour,2023-02-27,0.2577,0.9583
Front Yard Parking,2023,Yes,50,107,In Favour,2023-02-27,0.4673,0.925
Traffic Calming,2023,No,28,63,Response Rate Not Met,2023-01-19,0.4444,0.8571
Traffic Calming,2023,No,74,225,Response Rate Not Met,2023-01-17,0.3289,0.7887
Front Yard Parking,2023,Yes,8,21,In Favour,2023-02-28,0.381,1
Front Yard Parking,2023,Yes,32,95,In Favour,2023-02-28,0.3368,1
Front Yard Parking,2023,Yes,29,32,In Favour,2023-03-01,0.9062,0.7391
Front Yard Parking,2023,Yes,68,119,In Favour,2023-03-02,0.5714,0.9672
Front Yard Parking,2023,Yes,43,65,In Favour,2023-03-06,0.6615,0.7317
Front Yard Parking,2023,Yes,34,76,In Favour,2023-03-06,0.4474,1
Front Yard Parking,2023,Yes,71,161,In Favour,2023-03-07,0.441,0.5781
Front Yard Parking,2023,Yes,42,85,In Favour,2023-03-07,0.4941,0.7857
Front Yard Parking,2023,Yes,35,80,In Favour,2023-03-13,0.4375,1
Front Yard Parking,2023,Yes,37,90,In Favour,2023-03-14,0.4111,0.8929
Front Yard Parking,2023,Yes,52,98,In Favour,2023-03-15,0.5306,0.9348
Front Yard Parking,2023,Yes,24,42,In Favour,2023-03-16,0.5714,1
Front Yard Parking,2023,Yes,21,25,In Favour,2023-03-16,0.84,1
Front Yard Parking,2023,Yes,66,107,In Favour,2023-03-20,0.6168,1
Front Yard Parking,2023,Yes,37,94,In Favour,2023-03-21,0.3936,0.8182
Front Yard Parking,2023,Yes,60,103,In Favour,2023-03-21,0.5825,0.9273
Front Yard Parking,2023,Yes,31,51,In Favour,2023-03-22,0.6078,1
Front Yard Parking,2023,Yes,40,68,In Favour,2023-03-22,0.5882,1
Front Yard Parking,2023,Yes,33,110,In Favour,2023-03-27,0.3,0.9259
Traffic Calming,2023,Yes,37,68,In Favour,2023-04-05,0.5441,0.8889
Traffic Calming,2023,Yes,44,70,Opposed,2023-04-12,0.6286,0.475
Traffic Calming,2023,No,111,261,Response Rate Not Met,2023-04-11,0.4253,0.6667
Front Yard Parking,2023,Yes,30,64,In Favour,2023-03-29,0.4688,0.6786
Front Yard Parking,2023,Yes,61,118,In Favour,2023-04-11,0.5169,0.9811
Front Yard Parking,2023,Yes,30,133,In Favour,2023-04-17,0.2256,0.963
Front Yard Parking,2023,Yes,37,62,In Favour,2023-04-06,0.5968,0.9143
Traffic Calming,2023,No,92,228,Response Rate Not Met,2023-04-25,0.4035,0.3375
Front Yard Parking,2023,Yes,26,55,In Favour,2023-04-13,0.4727,0.9615
Front Yard Parking,2023,No,6,65,Response Rate Not Met,2023-04-12,0.0923,0.6667
Front Yard Parking,2023,Yes,42,107,In Favour,2023-04-13,0.3925,0.7568
Permit Parking,2023,Yes,25,78,In Favour,2023-05-01,0.3205,0.8261
Front Yard Parking,2023,Yes,35,88,In Favour,2023-04-19,0.3977,0.9706
Front Yard Parking,2023,Yes,27,51,In Favour,2023-04-20,0.5294,0.9167
Permit Parking,2023,Yes,41,153,Opposed,2023-04-25,0.268,0.5938
Front Yard Parking,2023,Yes,51,113,In Favour,2023-05-01,0.4513,1
Front Yard Parking,2023,Yes,34,62,In Favour,2023-05-04,0.5484,1
Traffic Calming,2023,Yes,68,124,In Favour,2023-05-10,0.5484,0.7794
Traffic Calming,2023,No,25,102,Response Rate Not Met,2023-05-17,0.2451,0.5714
Traffic Calming,2023,No,42,151,Response Rate Not Met,2023-05-16,0.2781,0.881
Front Yard Parking,2023,Yes,29,32,In Favour,2023-05-17,0.9062,0.5862
Front Yard Parking,2023,Yes,86,139,In Favour,2023-05-31,0.6187,1
Front Yard Parking,2023,Yes,43,102,In Favour,2023-06-12,0.4216,0.9024
Permit Parking,2023,Yes,66,117,In Favour,2023-08-10,0.5641,0.7576
Front Yard Parking,2023,Yes,24,69,In Favour,2023-06-15,0.3478,1
Front Yard Parking,2023,Yes,34,88,In Favour,2023-06-19,0.3864,0.7931
Front Yard Parking,2023,Yes,24,41,In Favour,2023-06-26,0.5854,1
Front Yard Parking,2023,Yes,16,61,In Favour,2023-06-29,0.2623,1
Front Yard Parking,2023,Yes,17,36,In Favour,2023-07-10,0.4722,1
Front Yard Parking,2023,Yes,67,118,In Favour,2023-07-19,0.5678,0.9677
Front Yard Parking,2023,Yes,39,64,In Favour,2023-07-20,0.6094,0.8889
Front Yard Parking,2023,Yes,21,50,In Favour,2023-07-27,0.42,0.95
Front Yard Parking,2023,Yes,31,72,In Favour,2023-08-03,0.4306,0.8667
Front Yard Parking,2023,Yes,39,119,In Favour,2023-08-03,0.3277,0.7059
Front Yard Parking,2023,Yes,32,41,In Favour,2023-08-10,0.7805,0.9688
Front Yard Parking,2023,Yes,68,107,Opposed,2023-07-27,0.6355,0.5763
Front Yard Parking,2023,Yes,37,82,In Favour,2023-08-22,0.4512,1
Front Yard Parking,2023,Yes,26,61,In Favour,2023-08-24,0.4262,1
Front Yard Parking,2023,Yes,34,40,In Favour,2023-08-30,0.85,1
Front Yard Parking,2023,Yes,10,29,In Favour,2023-09-19,0.3448,1
Front Yard Parking,2023,Yes,31,60,In Favour,2023-09-27,0.5167,0.8387
Front Yard Parking,2023,No,28,139,Response Rate Not Met,2023-09-28,0.2014,0.9286
Permit Parking,2023,No,13,58,Response Rate Not Met,2023-10-02,0.2241,0.5385
Front Yard Parking,2023,Yes,30,59,In Favour,2023-10-11,0.5085,0.931
Front Yard Parking,2023,Yes,39,80,In Favour,2023-10-31,0.4875,0.9375
Front Yard Parking,2023,Yes,32,63,Opposed,2023-10-19,0.5079,0.0345
Front Yard Parking,2023,Yes,29,43,In Favour,2023-10-19,0.6744,1
Front Yard Parking,2023,Yes,20,41,In Favour,2023-10-23,0.4878,1
Front Yard Parking,2023,Yes,20,48,In Favour,2023-10-23,0.4167,0.8947
Front Yard Parking,2023,Yes,43,87,In Favour,2023-11-07,0.4943,1
Front Yard Parking,2023,Yes,28,46,In Favour,2023-11-06,0.6087,1
Permit Parking,2023,Yes,82,167,Opposed,2023-10-24,0.491,0.4875
Permit Parking,2023,Yes,60,100,In Favour,2023-11-06,0.6,0.8431
Permit Parking,2023,Yes,62,209,Opposed,2023-11-13,0.2967,0.4107
Front Yard Parking,2023,Yes,53,136,In Favour,2023-11-20,0.3897,0.9796
Front Yard Parking,2023,Yes,44,72,In Favour,2023-11-16,0.6111,1
Traffic Calming,2023,Yes,39,70,In Favour,2023-11-21,0.5571,0.9688
Traffic Calming,2023,No,17,64,Response Rate Not Met,2023-11-20,0.2656,0.4118
Front Yard Parking,2023,Yes,40,51,In Favour,2023-11-29,0.7843,0.9487
Front Yard Parking,2023,Yes,3,7,In Favour,2023-12-07,0.4286,1
